date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1981-08-31,1.0,1.0,1.0,40.08,40.0,20.0,10.0,10.0,10.0,122.79000091552734,5.0,-1.55,149.55,-0.06209897164012054,-0.003132915611251825
1981-09-30,1.0,1.0,1.0,80.5,57.5,32.5,25.0,17.5,10.0,116.18000030517578,5.51,-1.42,151.59,-0.05383174982545096,0.01364092276830486
1981-10-30,1.0,1.0,1.0,91.96,57.5,32.5,25.0,17.5,10.0,121.88999938964844,5.51,-0.93,151.59,0.04914786597929005,0.0
1981-11-30,1.0,1.0,1.0,95.26,57.5,32.5,25.0,17.5,10.0,126.3499984741211,5.36,-0.01,162.67,0.03659036103704685,0.073091892605053
1981-12-31,1.0,1.0,1.0,95.5,95.0,50.0,30.0,15.0,10.0,122.55000305175781,5.36,-0.01,162.3,-0.03007515210331873,-0.0022745435544352134
1982-01-29,1.0,1.0,1.0,93.06,95.0,50.0,30.0,15.0,10.0,120.4000015258789,5.36,-0.37,162.3,-0.017543871663315044,0.0
1982-02-26,1.0,1.0,1.0,14.34,95.0,50.0,30.0,15.0,10.0,113.11000061035156,5.36,-0.71,162.3,-0.06054817959417071,0.0
1982-03-31,1.0,1.0,1.0,66.64,90.0,45.0,17.5,12.5,15.0,111.95999908447266,6.06,-0.47,167.58,-0.010167107414670643,0.03253234750462108
1982-04-30,1.0,1.0,1.0,77.48,90.0,45.0,17.5,12.5,15.0,116.44000244140625,5.8,-0.53,170.5,0.04001432112868702,0.017424513665115094
1982-05-28,1.0,1.0,1.0,79.28,90.0,45.0,17.5,12.5,15.0,111.87999725341797,5.8,-0.38,170.5,-0.03916184380263064,0.0
1982-06-30,1.0,1.0,1.0,82.2,50.0,27.5,10.0,20.0,20.0,109.61000061035156,6.21,-0.34,172.42,-0.020289566489036154,0.011260997067448607
1982-07-30,1.0,1.0,1.0,82.94,50.0,27.5,10.0,20.0,20.0,107.08999633789062,6.21,-0.24,172.42,-0.02299064189789767,0.0
1982-08-31,1.0,1.0,1.0,81.68,50.0,27.5,10.0,20.0,20.0,119.51000213623047,6.23,0.45,182.64,0.11597727353685035,0.05927386614081893
1982-09-30,1.0,1.0,1.0,78.82,10.0,30.0,20.0,20.0,20.0,120.41999816894531,5.6,0.3,186.79,0.007614392238714309,0.02272229522558041
1982-10-29,1.0,1.0,1.0,76.38,10.0,30.0,20.0,20.0,20.0,133.72000122070312,5.6,0.21,186.79,0.11044679666161715,0.0
1982-11-30,1.0,1.0,0.0,48.06,10.0,30.0,20.0,20.0,20.0,138.52999877929688,4.97,0.63,195.48,0.03597066642749211,0.04652283312811177
1982-12-31,0.0,0.0,0.0,22.6,40.0,40.0,30.0,20.0,15.0,140.63999938964844,4.93,0.73,198.38,0.015231362368761525,0.014835277266216522
1983-01-31,0.0,0.0,0.0,0.54,40.0,40.0,30.0,20.0,15.0,145.3000030517578,4.77,0.94,200.83,0.03313426964116132,0.012350035285815188
